"","Date reported to Alberta Health","Number of lab tests","Cumulative number of lab tests","Number of cases","Cumulative number of cases","Active cases","Currently hospitalized","Currently in ICU","Cumulative number of deaths","Number of deaths","Number of variants of concern","Percent positivity"
"484",2021-07-02,3931,4706914,35,232017,833,138,31,2302,0,26,1.04
"485",2021-07-03,4208,4711122,52,232069,834,135,31,2302,0,32,1.26
"486",2021-07-04,4268,4715390,39,232108,826,133,33,2303,1,19,0.94
"487",2021-07-05,4418,4719808,37,232145,760,135,32,2303,0,24,0.79
"488",2021-07-06,6162,4725970,64,232209,738,137,30,2304,1,36,0.88
"489",2021-07-07,5898,4731868,48,232257,693,127,31,2304,0,34,0.86
"490",2021-07-08,7316,4739184,57,232314,675,122,34,2304,0,29,0.78
"491",2021-07-09,5842,4745026,35,232349,643,113,34,2304,0,19,0.62
"492",2021-07-10,6021,4751047,30,232379,638,113,32,2304,0,13,0.5
"493",2021-07-11,4012,4755059,30,232409,620,107,33,2307,3,16,0.75
"494",2021-07-12,4994,4760053,32,232441,592,107,32,2307,0,12,0.7
"495",2021-07-13,6858,4766911,35,232476,559,107,32,2308,1,21,0.52
"496",2021-07-14,6214,4773125,49,232525,565,102,30,2310,2,30,0.8
"497",2021-07-15,6371,4779496,52,232577,574,105,27,2311,1,29,0.89
"498",2021-07-16,5513,4785009,49,232626,570,103,27,2312,1,31,0.94
"499",2021-07-17,5355,4790364,40,232666,575,101,27,2313,1,25,0.82
"500",2021-07-18,4347,4794711,41,232707,587,99,27,2313,0,32,1.01
"501",2021-07-19,5008,4799719,61,232768,589,96,27,2313,0,38,1.22
"502",2021-07-20,6483,4806202,88,232856,635,94,27,2315,2,65,1.47
"503",2021-07-21,6626,4812828,96,232952,662,90,26,2317,2,76,1.45
"504",2021-07-22,7621,4820449,166,233118,791,83,26,2317,0,148,2.27
"505",2021-07-23,6082,4826531,144,233262,903,84,23,2318,1,116,2.48
"506",2021-07-24,6290,4832821,135,233397,1002,80,22,2318,0,122,2.18
"507",2021-07-25,5370,4838191,91,233488,1060,81,21,2318,0,79,1.75
"508",2021-07-26,5427,4843618,137,233625,1154,83,21,2319,1,111,2.52
"509",2021-07-27,7131,4850749,205,233830,1320,84,18,2319,0,180,2.94
"510",2021-07-28,7864,4858613,222,234052,1495,88,20,2321,2,190,2.9
"511",2021-07-29,8291,4866904,197,234249,1643,89,19,2321,0,162,2.48
"512",2021-07-30,6701,4873605,236,234485,1812,92,18,2322,1,214,3.69
"513",2021-07-31,6027,4879632,223,234708,1991,91,17,2322,0,198,3.83
"514",2021-08-01,4392,4884024,141,234849,2084,91,20,2322,0,133,3.39
"515",2021-08-02,4478,4888502,124,234973,2140,90,23,2322,0,105,2.79
"516",2021-08-03,5434,4893936,204,235177,2243,98,23,2322,0,187,3.9
"517",2021-08-04,7476,4901412,396,235573,2490,103,24,2323,1,356,5.56
"518",2021-08-05,7298,4908710,364,235937,2684,112,26,2325,2,327,5.23
"519",2021-08-06,7801,4916511,391,236328,2930,118,26,2327,2,345,5.19
"520",2021-08-07,7708,4924219,375,236703,3201,117,24,2327,0,335,5.11
"521",2021-08-08,4472,4928691,241,236944,3333,129,27,2328,1,210,5.59
"522",2021-08-09,5446,4934137,286,237230,3430,135,29,2328,0,251,5.6
"523",2021-08-10,8640,4942777,500,237730,3735,142,32,2328,0,456,6.22
"524",2021-08-11,8606,4951383,548,238278,4067,155,36,2328,0,479,6.66
"525",2021-08-12,9314,4960697,579,238857,4404,158,38,2328,0,515,6.3
"526",2021-08-13,8016,4968713,567,239424,4773,161,39,2330,2,520,7.32
"527",2021-08-14,7152,4975865,450,239874,5060,157,44,2330,0,407,6.36
"528",2021-08-15,5331,4981196,388,240262,5298,172,44,2332,2,364,7.52
"529",2021-08-16,5494,4986690,410,240672,5576,186,45,2332,0,352,7.86
"530",2021-08-17,9229,4995919,668,241340,5872,192,48,2334,2,594,7.83
"531",2021-08-18,10007,5005926,818,242158,6311,208,44,2339,5,742,8.56
"532",2021-08-19,9034,5014960,747,242905,6648,230,47,2341,2,678,8.61
"533",2021-08-20,8977,5023937,807,243712,7098,247,47,2342,1,735,9.49
"534",2021-08-21,8423,5032360,677,244389,7524,243,49,2344,2,609,8.42
"535",2021-08-22,5617,5037977,467,244856,7705,256,54,2348,4,433,9.01
"536",2021-08-23,6028,5044005,641,245497,7874,274,58,2353,5,570,11.1
"537",2021-08-24,11789,5055794,1073,246570,8440,301,59,2357,4,979,9.62
"538",2021-08-25,10600,5066394,1099,247669,9010,320,64,2358,1,950,10.79
"539",2021-08-26,11592,5077986,1164,248833,9595,346,73,2362,4,1049,10.46
"540",2021-08-27,11448,5089434,1222,250055,10303,371,85,2366,4,1106,11.22
"541",2021-08-28,9543,5098977,952,251007,10875,396,87,2370,4,850,10.32
"542",2021-08-29,8356,5107333,862,251869,11357,421,97,2373,3,787,10.7
"543",2021-08-30,7514,5114847,915,252784,11581,454,106,2380,7,841,12.74
"544",2021-08-31,12170,5127017,1337,254121,12239,492,108,2386,6,1188,11.32
"545",2021-09-01,12472,5139489,1335,255456,12814,514,116,2389,3,1228,11.14
"546",2021-09-02,12627,5152116,1412,256868,13436,553,119,2394,5,1269,11.79
"547",2021-09-03,10474,5162590,1309,258177,13962,579,128,2402,8,1164,13.06
"548",2021-09-04,12866,5175456,1443,259620,14938,595,133,2412,10,1326,11.55
"549",2021-09-05,7526,5182982,813,260433,15176,610,137,2422,10,739,11.27
"550",2021-09-06,10452,5193434,1296,261729,15368,638,140,2431,9,1187,12.95
"551",2021-09-07,10778,5204212,1219,262948,15558,687,148,2438,7,1070,11.81
"552",2021-09-08,13851,5218063,1495,264443,15899,704,152,2445,7,1337,11.27
"553",2021-09-09,13681,5231744,1466,265909,16184,718,167,2455,10,1256,11.22
"554",2021-09-10,14590,5246334,1645,267554,16646,765,179,2464,9,872,11.76
"555",2021-09-11,12218,5258552,1478,269032,17396,782,183,2469,5,890,12.42
"556",2021-09-12,13372,5271924,1578,270610,18271,831,198,2480,11,576,12.21
"557",2021-09-13,11942,5283866,1416,272026,18132,851,213,2493,13,466,12.4
"558",2021-09-14,15897,5299763,1633,273659,18333,900,219,2505,12,633,10.78
"559",2021-09-15,16431,5316194,1721,275380,18629,923,221,2521,16,672,10.92
"560",2021-09-16,17395,5333589,1998,277378,19101,941,218,2535,14,706,11.92
"561",2021-09-17,16432,5350021,1596,278974,19244,949,214,2550,15,690,10.14
"562",2021-09-18,16562,5366583,1586,280560,20015,960,204,2565,15,681,9.94
"563",2021-09-19,13449,5380032,1429,281989,20488,986,219,2582,17,585,11.13
"564",2021-09-20,13723,5393755,1519,283508,20798,1024,223,2596,14,561,11.63
"565",2021-09-21,14584,5408339,1315,284823,20157,1064,235,2615,19,640,9.37
"566",2021-09-22,18000,5426339,1689,286512,20086,1081,232,2625,10,716,9.76
"567",2021-09-23,16951,5443290,1670,288182,19971,1097,245,2636,11,710,10.26
"568",2021-09-24,15935,5459225,1873,290055,20031,1097,247,2653,17,733,12.19
"569",2021-09-25,14884,5474109,1525,291580,20394,1072,254,2668,15,551,10.61
"570",2021-09-26,15085,5489194,1742,293322,21182,1094,256,2686,18,646,12.03
"571",2021-09-27,11181,5500375,1271,294593,20421,1129,250,2698,12,534,11.73
"572",2021-09-28,15081,5515456,1706,296299,20235,1102,257,2713,15,580,11.66
"573",2021-09-29,17650,5533106,1720,298019,20192,1101,253,2731,18,756,10.18
"574",2021-09-30,15893,5548999,1649,299668,20167,1086,255,2744,13,623,10.73
"575",2021-10-01,14550,5563549,1608,301276,20222,1081,251,2758,14,656,11.39
"576",2021-10-02,14346,5577895,1282,302558,20435,1106,247,2785,27,511,9.36
"577",2021-10-03,10443,5588338,1128,303686,20584,1096,246,2798,13,437,11.17
"578",2021-10-04,8042,5596380,697,304383,19406,1111,240,2813,15,389,9.05
"579",2021-10-05,15433,5611813,1260,305643,18889,1110,236,2822,9,591,8.46
"580",2021-10-06,15643,5627456,1236,306879,18371,1108,240,2833,11,624,8.34
"581",2021-10-07,14778,5642234,1263,308142,17803,1101,241,2850,17,598,8.93
"582",2021-10-08,13999,5656233,1080,309222,17054,1074,243,2864,14,506,8.03
"583",2021-10-09,11651,5667884,1039,310261,17091,1035,231,2878,14,447,9.28
"584",2021-10-10,7744,5675628,631,310892,16698,1064,234,2899,21,329,8.73
"585",2021-10-11,7368,5682996,601,311493,15238,1064,230,2920,21,259,8.59
"586",2021-10-12,8651,5691647,654,312147,14177,1050,225,2933,13,283,7.93
"587",2021-10-13,12754,5704401,931,313078,13406,1031,224,2946,13,436,7.61
"588",2021-10-14,14079,5718480,1038,314116,12950,1013,221,2959,13,504,7.67
"589",2021-10-15,11647,5730127,772,314888,12382,1001,216,2976,17,379,6.97
"590",2021-10-16,11450,5741577,789,315677,12358,982,208,2983,7,397,7.08
"591",2021-10-17,7184,5748761,602,316279,12261,988,217,2993,10,262,8.76
"592",2021-10-18,8045,5756806,528,316807,11367,975,210,3005,12,298,6.85
"593",2021-10-19,12131,5768937,809,317616,10817,939,200,3015,10,428,6.82
"594",2021-10-20,11912,5780849,770,318386,10430,913,195,3025,10,360,6.72
"595",2021-10-21,10750,5791599,663,319049,10050,895,186,3032,7,319,6.23
"596",2021-10-22,10805,5802404,705,319754,9829,864,186,3042,10,323,6.75
"597",2021-10-23,8705,5811109,508,320262,9712,835,190,3055,13,260,6.19
"598",2021-10-24,6437,5817546,366,320628,9487,830,175,3065,10,178,6.04
"599",2021-10-25,7798,5825344,456,321084,9288,842,173,3073,8,240,6.09
"600",2021-10-26,11371,5836715,629,321713,8751,817,173,3079,6,318,5.72
"601",2021-10-27,10291,5847006,544,322257,8414,791,174,3092,13,269,5.47
"602",2021-10-28,10526,5857532,606,322863,8188,773,168,3098,6,277,6.05
"603",2021-10-29,9399,5866931,531,323394,7901,745,161,3107,9,283,5.95
"604",2021-10-30,8254,5875185,331,323725,7711,707,154,3118,11,165,4.16
"605",2021-10-31,6725,5881910,339,324064,7594,698,150,3123,5,153,5.25
"606",2021-11-01,7547,5889457,325,324389,6932,703,154,3128,5,161,4.56
"607",2021-11-02,10364,5899821,495,324884,6709,704,145,3134,6,260,4.98
"608",2021-11-03,12411,5912232,540,325424,6529,686,137,3139,5,269,4.57
"609",2021-11-04,11509,5923741,472,325896,6396,666,134,3144,5,218,4.24
"610",2021-11-05,11493,5935234,586,326482,6373,662,131,3149,5,271,5.22
"611",2021-11-06,8973,5944207,433,326915,6458,635,132,3157,8,211,4.98
"612",2021-11-07,5521,5949728,289,327204,6381,613,127,3161,4,138,5.22
"613",2021-11-08,8342,5958070,424,327628,6086,614,122,3168,7,188,5.26
"614",2021-11-09,11179,5969249,502,328130,6024,592,118,3173,5,207,4.6
"615",2021-11-10,11595,5980844,468,328598,5894,572,108,3179,6,226,4.17
"616",2021-11-11,8848,5989692,376,328974,5758,558,103,3186,7,169,4.39
"617",2021-11-12,7980,5997672,436,329410,5759,547,100,3187,1,194,5.75
"618",2021-11-13,7150,6004822,357,329767,5832,532,96,3196,9,136,5.08
"619",2021-11-14,6688,6011510,289,330056,5836,523,95,3201,5,143,4.53
"620",2021-11-15,6428,6017938,322,330378,5574,528,96,3205,4,174,5.13
"621",2021-11-16,9745,6027683,415,330793,5532,521,93,3207,2,182,4.39
"622",2021-11-17,8967,6036650,385,331178,5397,509,86,3209,2,199,4.45
"623",2021-11-18,8687,6045337,417,331595,5310,498,85,3213,4,203,4.98
"624",2021-11-19,9454,6054791,467,332062,5319,487,87,3218,5,213,5.2
"625",2021-11-20,7621,6062412,379,332441,5343,467,83,3220,2,175,5.2
"626",2021-11-21,4839,6067251,270,332711,5299,474,90,3228,8,137,5.93
"627",2021-11-22,5326,6072577,271,332982,4983,485,87,3230,2,144,5.43
"628",2021-11-23,10437,6083014,473,333455,5022,479,89,3231,1,319,4.67
"629",2021-11-24,9618,6092632,395,333850,4968,471,90,3234,3,340,4.29
"630",2021-11-25,8714,6101346,361,334211,5018,470,82,3238,4,319,4.3
"631",2021-11-26,7492,6108838,325,334536,4874,465,76,3243,5,273,4.67
"632",2021-11-27,6631,6115469,251,334787,4856,448,71,3245,2,224,3.92
"633",2021-11-28,5058,6120527,229,335016,4844,441,71,3249,4,194,4.82
"634",2021-11-29,5358,6125885,232,335248,4532,446,74,3254,5,195,4.4
"635",2021-11-30,10768,6136653,433,335681,4615,430,75,3257,3,399,4.14
"636",2021-12-01,9472,6146125,363,336044,4533,426,72,3259,2,321,3.94
"637",2021-12-02,9707,6155832,344,336388,4431,401,69,3261,2,303,3.63
"638",2021-12-03,8423,6164255,348,336736,4385,393,65,3263,2,319,4.26
"639",2021-12-04,6957,6171212,247,336983,4399,378,63,3265,2,225,3.61
"640",2021-12-05,5141,6176353,184,337167,4358,383,66,3269,4,165,3.75
"641",2021-12-06,5491,6181844,235,337402,4085,388,67,3271,2,205,4.46
"642",2021-12-07,10716,6192560,384,337786,4120,380,60,3271,0,346,3.75
"643",2021-12-08,10055,6202615,354,338140,4094,374,62,3272,1,319,3.67
"644",2021-12-09,9204,6211819,345,338485,4117,375,64,3273,1,303,3.81
"645",2021-12-10,8538,6220357,312,338797,4134,384,64,3275,2,277,3.87
"646",2021-12-11,6495,6226852,261,339058,4183,368,62,3277,2,234,4.23
"647",2021-12-12,5765,6232617,200,339258,4152,364,63,3278,1,176,3.82
"648",2021-12-13,6433,6239050,275,339533,4014,374,64,3279,1,240,4.57
"649",2021-12-14,10116,6249166,446,339979,4074,369,66,3283,4,380,4.63
"650",2021-12-15,9604,6258770,472,340451,4199,359,63,3284,1,402,5.05
"651",2021-12-16,9711,6268481,553,341004,4420,348,61,3286,2,501,5.81
"652",2021-12-17,10056,6278537,621,341625,4752,339,60,3289,3,568,6.32
"653",2021-12-18,8712,6287249,714,342339,5239,323,65,3292,3,639,8.34
"654",2021-12-19,6511,6293760,568,342907,5620,332,63,3293,1,490,8.88
"655",2021-12-20,7304,6301064,791,343698,6012,340,65,3295,2,714,11.01
"656",2021-12-21,11545,6312609,1359,345057,7048,339,64,3297,2,1194,12.02
"657",2021-12-22,11895,6324504,1581,346638,8292,333,63,3299,2,1422,13.56
"658",2021-12-23,11558,6336062,1981,348619,9928,337,62,3302,3,1550,17.3
"659",2021-12-24,11480,6347542,2467,351086,12080,325,57,3304,2,555,21.71
"660",2021-12-25,7240,6354782,1578,352664,13466,322,54,3304,0,231,22.1
"661",2021-12-26,4080,6358862,691,353355,13937,327,53,3307,3,240,17.57
"662",2021-12-27,6480,6365342,1389,354744,14880,348,55,3310,3,335,21.82
"663",2021-12-28,9416,6374758,2783,357527,17214,374,50,3313,3,538,30
"664",2021-12-29,13268,6388026,3990,361517,20607,396,51,3315,2,693,30.47
"665",2021-12-30,13416,6401442,4383,365900,24361,423,51,3318,3,762,33.01
"666",2021-12-31,12796,6414238,4367,370267,28028,422,51,3319,1,992,34.61
"667",2022-01-01,9485,6423723,3218,373485,30641,435,54,3322,3,730,34.49
"668",2022-01-02,7112,6430835,1965,375450,31904,462,56,3326,4,717,28.23
"669",2022-01-03,8280,6439115,2940,378390,33441,479,54,3330,4,789,36.27
"670",2022-01-04,12778,6451893,4696,383086,36367,536,60,3333,3,1108,37.23
"671",2022-01-05,12379,6464272,4784,387870,38972,564,66,3336,3,1223,39.18
"672",2022-01-06,16289,6480561,6153,394023,42367,599,68,3339,3,1463,38.38
"673",2022-01-07,15105,6495666,6144,400167,46824,666,72,3344,5,1150,41.58
"674",2022-01-08,16363,6512029,6162,406329,52790,687,77,3348,4,1257,38.62
"675",2022-01-09,13978,6526007,5307,411636,56382,732,76,3353,5,951,38.98
"676",2022-01-10,12273,6538280,4630,416266,57640,794,81,3363,10,756,38.78
"677",2022-01-11,17917,6556197,6789,423055,60270,832,84,3374,11,1340,38.66
"678",2022-01-12,14492,6570689,5877,428932,61656,869,80,3383,9,668,41.48
"679",2022-01-13,16695,6587384,6261,435193,63190,921,82,3394,11,497,38.24
"680",2022-01-14,16248,6603632,6140,441333,65979,977,83,3403,9,255,38.68
"681",2022-01-15,15439,6619071,5363,446696,70542,1001,92,3408,5,184,35.62
"682",2022-01-16,11221,6630292,4143,450839,71378,1078,99,3417,9,219,37.86
"683",2022-01-17,9085,6639377,3504,454343,69444,1163,104,3427,10,135,39.17
"684",2022-01-18,10122,6649499,3792,458135,66747,1182,111,3434,7,180,38.25
"685",2022-01-19,11110,6660609,3656,461791,63846,1224,113,3441,7,197,33.46
"686",2022-01-20,10653,6671262,3708,465499,61105,1283,110,3456,15,282,35.69
"687",2022-01-21,10408,6681670,3924,469423,58361,1326,107,3476,20,280,38.47
"688",2022-01-22,7919,6689589,2618,472041,57063,1341,107,3488,12,152,34.06
"689",2022-01-23,4754,6694343,1685,473726,55100,1402,111,3503,15,140,36.66
"690",2022-01-24,6776,6701119,2848,476574,50680,1480,113,3520,17,186,43.24
"691",2022-01-25,9048,6710167,3393,479967,47317,1518,110,3534,14,247,37.74
"692",2022-01-26,9424,6719591,3292,483259,43964,1572,109,3548,14,210,35.07
"693",2022-01-27,8727,6728318,3112,486371,40999,1577,107,3560,12,198,36.36
"694",2022-01-28,8451,6736769,2981,489352,39015,1582,105,3575,15,198,35.63
"695",2022-01-29,5915,6742684,1847,491199,38029,1553,103,3583,8,203,32.27
"696",2022-01-30,5077,6747761,1752,492951,37172,1582,103,3600,17,152,35.47
"697",2022-01-31,5053,6752814,2051,495002,35054,1655,111,3616,16,113,40.59
"698",2022-02-01,7677,6760491,3069,498071,34662,1671,107,3629,13,138,40.17
"699",2022-02-02,7392,6767883,2530,500601,33750,1650,114,3644,15,122,34.71
"700",2022-02-03,6257,6774140,2116,502717,32553,1642,122,3662,18,107,33.93
"701",2022-02-04,6444,6780584,2053,504770,31590,1624,122,3675,13,98,32.09
"702",2022-02-05,4786,6785370,1389,506159,30871,1575,117,3689,14,77,29.73
"703",2022-02-06,3585,6788955,1125,507284,29891,1612,119,3703,14,68,32.38
"704",2022-02-07,4301,6793256,1581,508865,28026,1677,129,3712,9,86,36.83
"705",2022-02-08,5777,6799033,1832,510697,26782,1663,134,3725,13,177,32.08
"706",2022-02-09,5007,6804040,1492,512189,25245,1639,128,3742,17,276,29.52
"707",2022-02-10,4785,6808825,1424,513613,24069,1605,127,3758,16,461,30.22
"708",2022-02-11,4334,6813159,1111,514724,22667,1592,119,3772,14,538,24.9
"709",2022-02-12,3479,6816638,871,515595,21756,1550,123,3786,14,434,25.18
"710",2022-02-13,2436,6819074,634,516229,20746,1560,124,3796,10,324,26.77
"711",2022-02-14,2523,6821597,882,517111,18946,1574,124,3804,8,398,34.48
"712",2022-02-15,4129,6825726,1066,518177,17615,1537,122,3822,18,499,24.68
"713",2022-02-16,4054,6829780,972,519149,16522,1520,116,3829,7,336,23.68
"714",2022-02-17,3766,6833546,821,519970,15384,1494,116,3830,1,55,21.48
